,hotel_name,rating,room_description,price,location_descirption,long_description,Unnamed: 0_y,price_week_before
142,Aspasios Urquinaona Design,8.4,"Two-Bedroom Apartment (2-4 Adults)
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 65m²
3 beds (1 double, 2 bunk beds)
Only 2 left at this price on our site","€ 2,472","Eixample, BarcelonaShow on map0.7 km from centreMetro accessBeach nearby","Aspasios Urquinaona Design is in a quiet area of Barcelona’s Eixample district, only 5 minutes' walk from Plaza Catalunya and Arc de Triomf. Each bright apartment has free Wi-Fi.

The Urquinaona Design Apartments have elegant, modern design. They are air-conditioned and bright, with an open-plan living area with flat-screen TV and kitchen.

The kitchen includes an oven, a Nespresso coffee maker and a juicer. There is also a dishwasher, a washing machine and a tumble dryer.

All apartments have access to the furnished roof terrace.

The apartments are just a short walk from the historic city centre. Ciutadella Park, the Cathedral and the Picasso Museum are all nearby. Urquinaona Metro Station is only 300 metres away.",238.0,"€ 1,783"
143,Pestana Arena Barcelona,8.4,"King Room
1 extra-large double bed","€ 1,163","Sants-Montjuïc, BarcelonaShow on map2.3 km from centreMetro access","You're eligible for a Genius discount at Pestana Arena Barcelona! To save at this property, all you have to do is sign in.
Pestana Arena Barcelona is less than 5 minutes’ walk from Barcelona’s Plaza Espanya and Fira Exhibition Centre. It offers a gym, sauna and modern, air-conditioned rooms with free wired internet access.

Some rooms offers free use of the Maritimo Meeting Room, up to 12 people, for private meetings.

Pestana Arena Barcelona is just 3 minutes’ walk from Las Arenas Shopping Centre and you can walk to Sants Station in 8 minutes. You can get to the Rambla in 5 minutes from Plaza Espanya Metro.

Rooms feature parquet floors and stylish décor. Each one has work desk, a pillow menu and an LCD TV with satellite channels.

The hotel’s restaurant serves Mediterranean food and has a terrace. There is also a bar where you can get a snack or a drink. The hotel's breakfast includes products for celiacs.",70.0,"€ 1,232"
144,Fira Apartments by gaiarooms,8.0,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²
5 single beds
Free cancellation
Only 5 left at this price on our site","€ 2,149","Sants-Montjuïc, BarcelonaShow on map2.4 km from centreMetro access","You're eligible for a Genius discount at Fira Apartments by gaiarooms! To save at this property, all you have to do is sign in.
Located next to the Fira de Barcelona Exhibition Centre, these bright modern apartments offer free WiFi and a flat-screen TV. Plaza Espanya Square is just 50 metres away.

Each stylish Ding Dong Fira Apartment is decorated in light colours, with smart wooden floors. Apartments have a lounge with a sofa bed, and air conditioning and heating is available in the lounge only.

There is a well-equipped open-plan kitchenette with a washing machine, microwave, toaster, Nespresso coffee machine and utensils. Towels and bed linen are provided and there is a hairdryer.

A range of bars, restaurants and shops can be found within a 5-minute walk of the Fira Apartments by gaiarooms. The famous Magic Fountain and Las Arenas Shopping Centre are both within 100 metres.

Espanya Metro Station, 250 metres away, offers direct metro services within 10 minutes to Plaza Catalunya and Las Ramblas. Sants International Train Station is within a 500 metre walk of the apartments or can be reached by direct metro line. Buses to and from the airport, as well as city tour buses, stop 3 minutes' walk from the apartments.",120.0,"€ 1,621"
145,Mihlton Barcelona Boutique B&B,8.7,"Standard Double Room Interior
1 large double bed
Only 2 rooms left at this price on our site","€ 1,194","Eixample, BarcelonaShow on map1.3 km from centreMetro access","Set in the centre of Barcelona, Mihlton Barcelona Boutique B&B is a recently renovated accommodation, which offers allergy-free rooms. Boasting a lift, this property also provides guests with a sun terrace. The accommodation features luggage storage space, a housekeeping service and organising tours for guests.

All units feature air conditioning and a satellite flat-screen TV. Units are equipped with a private bathroom, a safety deposit box and free WiFi, while certain rooms also offer a balcony and some have garden views. At the bed and breakfast, every unit comes with bed linen and towels.

Buffet and continental breakfast options with warm dishes, local specialities and champagne are available every morning at the bed and breakfast. There is a coffee shop, and a minimarket is also available.

Guests at Mihlton Barcelona Boutique B&B will be able to enjoy activities in and around Barcelona, like walking tours. The bed and breakfast has a picnic area where you can spend a day out in the open.

Popular points of interest near the accommodation include La Pedrera, Casa Batllo and Passeig de Gracia. The nearest airport is Barcelona El Prat Airport, 13 km from Mihlton Barcelona Boutique B&B.",114.0,"€ 1,115"
146,Catalonia Atenas,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,799","Sant Martí, BarcelonaShow on map3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Atenas! To save at this property, all you have to do is sign in.
Set 3 metro stops from central Barcelona, the Atenas Catalonia has a rooftop swimming pool, offering views of the nearby Torre Agbar and Sagrada Familia. It also features free WiFi, a gym and a spa with a Turkish bath.

The bright rooms of Hotel Atenas Barcelona have simple décor with wooden flooring. Each has air conditioning, a mini fridge with complimentary water, and satellite TV.

The hotel's buffet breakfast features a show kitchen. There is a snack bar and guests can enjoy stunning city views from the pool, set on the 11th floor.

The Sagrada Familia is just over one kilometre from the hotel, while Glòries shopping centre can be reached in 15 minutes by foot.

The Catalonia Atenas has a convenient left luggage service, on-site parking, and is 2 minutes’ walk from Clot Metro Station; and 200 metres from Clot Train Station; here you can take a direct train to Barcelona Airport.",20.0,"€ 1,019"
147,Catalonia Atenas,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,799","Sant Martí, BarcelonaShow on map3 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Catalonia Atenas! To save at this property, all you have to do is sign in.
Set 3 metro stops from central Barcelona, the Atenas Catalonia has a rooftop swimming pool, offering views of the nearby Torre Agbar and Sagrada Familia. It also features free WiFi, a gym and a spa with a Turkish bath.

The bright rooms of Hotel Atenas Barcelona have simple décor with wooden flooring. Each has air conditioning, a mini fridge with complimentary water, and satellite TV.

The hotel's buffet breakfast features a show kitchen. There is a snack bar and guests can enjoy stunning city views from the pool, set on the 11th floor.

The Sagrada Familia is just over one kilometre from the hotel, while Glòries shopping centre can be reached in 15 minutes by foot.

The Catalonia Atenas has a convenient left luggage service, on-site parking, and is 2 minutes’ walk from Clot Metro Station; and 200 metres from Clot Train Station; here you can take a direct train to Barcelona Airport.",29.0,"€ 1,019"
148,Aparthotel Senator Barcelona,7.6,"Double or Twin Room with Kitchen - Ground Floor
Beds: 1 double or 2 singles
Free cancellation
Only 2 rooms left at this price on our site","€ 1,274","Sarrià-St. Gervasi, BarcelonaShow on map2.6 km from centreMetro access","You're eligible for a Genius discount at Aparthotel Senator Barcelona! To save at this property, all you have to do is sign in.
The Aparthotel Senator Barcelona is situated on Via Augusta, in a pleasant residential area, a 2-minute walk from Muntaner Train Station. It includes air conditioning, heating, and free Wi-Fi in hotel rooms.

All rooms and apartments have a TV, telephone, and a private bathroom with a bathtub or a shower. The apartments also include an equipped with kitchenette.

A 6-minute train ride will take you to Plaza Cataluña and Barcelona city centre. Sagrada Familia Cathedral is 3.3 km away.",38.0,"€ 1,247"
149,Aspasios Rambla Catalunya Suites,8.7,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 double, 1 sofa bed)
Only 1 left at this price on our site","€ 2,415","Eixample, BarcelonaShow on map0.5 km from centreMetro accessBeach nearby","These chic apartments are set on Barcelona’s stylish Rambla de Catalunya, 150 metres from Passeig de Gracia Boulevard. There is free WiFi available throughout.

Apartments at Aspasios Rambla Catalunya Suites feature contemporary decor, a sofa bed, and plasma TV while kitchens have a dishwasher, washing machine, tumble drier and Nespresso coffee maker.

There are several bars, restaurants and shops within 5 minutes’ walk and Plaza Catalunya is 400 metres away.

Las Ramblas and the Gothic Quarter are 10 minutes’ walk away and Gaudí’s La Pedrera and Casa Batllo are within 5 minutes’ walk.

The Aspasios Rambla Catalunya apartments are 3 minutes’ walk from Passeig de Gracia Metro and Train Station, with direct trains to Barcelona El Prat Airport.

The pictures at the top of this page are a selection of the different apartments located in the Eixample area. Please select a date and click on the apartments to see the pictures of the individual apartments.",356.0,"€ 1,718"
150,Hotel Rialto,8.5,"Double or Twin Room
2 single beds
Free cancellation","€ 1,335","Ciutat Vella, BarcelonaShow on map0.8 km from centreMetro accessBeach nearby","Situated just off famous La Rambla Boulevard in central Barcelona, Hotel Rialto occupies a historic building where the artist Joan Miró was born. It offers air-conditioned rooms with flat-screen TV.

Each room at the Rialto Hotel Barcelona has wooden floors and a simple, functional design. The modern bathrooms include basic toiletries. Safes are available to rent.

Guests can enjoy a varied buffet breakfast and delicious Mediterranean meals at the Rialto’s Miró restaurant. There are also many restaurants and lively bars in the surrounding streets. 

Hotel Rialto’s 24-hour reception offers information about the city. The Boquería Market and Barcelona Cathedral are both within 400 metres. Liceu Metro Station is only 300 metres away, and Plaza Catalunya is a 10-minute walk from the hotel.",83.0,"€ 1,235"
152,Brummell Apartments Eixample Izquierda/Valeris,8.4,"Standard Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 80m²
2 double beds
Free cancellation
No prepayment needed – pay at the property
Only 2 left at this price on our site","€ 2,203","Eixample, BarcelonaShow on map0.9 km from centreMetro accessBeach nearby","Brummell Apartments Eixample Izquierda/Valeris features air-conditioned guest accommodation in Barcelona, 1 km from Passeig de Gracia, less than 1 km from Passeig de Gracia Metro Station and a 13-minute walk from Plaça Catalunya. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The accommodation provides airport transfers, while a bicycle rental service is also available.

Each unit is equipped with a balcony, a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with walk-in shower and a hair dryer. A toaster, a fridge and stovetop are also provided, as well as a coffee machine and a kettle. At the apartment complex, all units are equipped with bed linen and towels.

Popular points of interest near the apartment include Casa Batllo, Boqueria Market and Tivoli Theatre. The nearest airport is Barcelona El Prat Airport, 12 km from Brummell Apartments Eixample Izquierda/Valeris.",542.0,"€ 1,921"
153,MH Apartments Gracia,8.5,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 75m²
5 beds (4 singles, 1 sofa bed)
Free cancellation
No prepayment needed – pay at the property
Only 2 left at this price on our site","€ 2,110","Gràcia, BarcelonaShow on map2.2 km from centreMetro access","Offering free Wi-Fi, MH Apartments Gracia offers  bright, soundproofed apartments located in Barcelona’s Gracia District, 10 minutes’ walk from Passeig de Gracia.

Featuring wooden floors, each soundproofed apartment has a living room with a sofa and satellite flat-screen TV. A dishwasher, oven and washing machine are included in the kitchen. Some apartments come with 2 bathrooms.

Private parking and an airport shuttle service are available at an extra cost and there is luggage storage.

A large variety of bars and restaurants can be found in the area, There is a 24-hour supermarket 500 meters from the apartments.

Gaudí’s Sagrada Familia and La Pedrera can be visited within a 20-minute walk. Fontana Metro Station, with connection to Plaça Catalunya and Barcelona’s historic centre, is 400 metres away.",185.0,"€ 1,790"
154,BcnStop Parc Güell,8.4,"2 bedroom apartment
1 double bed","€ 1,549","Gràcia, BarcelonaShow on map3.1 km from centreMetro access","Set 350 metres from Park Güell in Barcelona's quiet Gracia district, BcnStop Parc Güell apartments have air conditioning and free Wi-Fi. Vallcarca Metro Station is just 220 metres away.

The BcnStop Parc Güell apartments are heated and have a fully equipped kitchen, TV and either one or two bathrooms. Apartments with a private balcony or terrace available for a small surcharge.

Towels, bed linen and soap are included at BcnStop Parc Güell.
At reception you can request a laundry service and tourist information.

You can reach Plaça Catalunya and the Ramblas, the heart of Barcelona, in just 10 minutes by metro. There is a bus stop opposite the apartments, and there is private parking just 40 metres away that can also be reserved in advance for a small surcharge.",227.0,"€ 1,167"
155,Barcelona Hotel Colonial,8.2,"Room Assigned on Arrival
1 single bed","€ 1,576","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","This elegant hotel is set in Barcelona’s Gothic Quarter, in an impressive, colonial, stone building with a clock tower. It is a 10-minute walk from Barcelona Cathedral and Barceloneta Beach.

Hotel Colonial’s bright, air-conditioned rooms feature wooden floors. They are soundproofed and have a flat-screen TV and minibar. You can hire the safe, and the private bathroom comes with a hairdryer and amenities.

A buffet breakfast is served in the Colonial Hotel café. Guests can relax with a free newspaper in the stylish lounge, with its white leather sofas, where Wi-Fi is free of charge.

Barcelona Hotel Colonial has a tour desk. Barcelona Marina and the boutiques of the trendy Born district are 5 minutes’ walk away. Parking is also available within a 5-minute walk of the property.",86.0,"€ 1,460"
156,Enjoybcn Patio de Gracia,8.3,"Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 70m²
4 beds (2 singles, 1 double, 1 sofa bed)
Free cancellation
Only 6 left at this price on our site","€ 2,798","Gràcia, BarcelonaShow on map2.1 km from centreMetro access","You're eligible for a Genius discount at Enjoybcn Patio de Gracia! To save at this property, all you have to do is sign in.
Offering free Wi-Fi and a shared outdoor pool, these modern apartments are located between Gracia and Sant Gervasi Districts. Diagonal and Passeig de Gracia avenues are 10 minutes’ walk away.

Enjoybcn Patio de Gracia Apartments features 1 or 2-bedroom apartments as well as duplex apartments.

Each air-conditioned apartment offers modern-style furniture and has a living-dining area with sofa and flat-screen TV, a fully equipped kitchen and a private bathroom with a hairdryer.

Numerous bars and restaurants serving national and international food can be found nearby. Gracia District is also known for its small shops and trendy cafés.

Fontana metro station is less than 5 minutes’ walk of the apartments and Gracia train station is 80 metres away.",396.0,"€ 2,222"
157,Hostal Boqueria,8.4,"Double or Twin Room
Beds: 1 double or 2 singles
Only 2 rooms left at this price on our site","€ 1,362","Ciutat Vella, BarcelonaShow on map0.6 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Hostal Boqueria! To save at this property, all you have to do is sign in.
Situated on Barcelona’s Las Ramblas, this guest house is less than 200 metres from Liceu Metro Station. It offers simple, comfortable rooms and has free Wi-Fi access available throughout.

The Hostal Boquería’s functional rooms feature air conditioning and cable TV, as well as heating and a safe. The private bathroom comes with a hairdryer. Rooms with views of the Ramblas are subject to availability.

The Boquería has a 24-hour reception. Guests can also make use of its luggage storage.

The central location makes visiting Barcelona’s sights easy. The Boquería Market is just across the Ramblas. Barcelona Cathedral and the surrounding Gothic Quarter are within 5 minutes’ walk of Hostal Boqueria.",107.0,"€ 1,101"
158,Arrivo Apartments,8.9,"Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 80m²
4 beds (3 singles, 1 double)
Only 1 left at this price on our site","€ 2,568","Eixample, BarcelonaShow on map2.2 km from centreMetro access","Situated conveniently in the Eixample district of Barcelona, Arrivo Apartments is a sustainable apartment set 700 metres from Sants Railway Station and 2.9 km from Passeig de Gracia. The property invites guests to reconnect with nature and encourages them to make eco-friendly travel choices. It is located 3 km from Palau Sant Jordi and offers a lift. Free WiFi is available throughout the property and Magic Fountain of Montjuic is 1 km away.

The air-conditioned apartment consists of 3 bedrooms, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with a walk-in shower and a hair dryer. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Passeig de Gracia Metro Station is 3 km from the apartment, while Plaça Catalunya is 3.3 km away. The nearest airport is Barcelona El Prat Airport, 11 km from Arrivo Apartments.",321.0,"€ 1,758"
160,Grums Hotel & Spa,8.4,"Urban Plus Room
2 single beds","€ 1,526","Sants-Montjuïc, BarcelonaShow on map1.6 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Grums Hotel & Spa! To save at this property, all you have to do is sign in.
The modern Hotel Grums is located in central Barcelona, 5 minutes' walk from Barcelona’s port, ferry terminal and cruise terminal. The Ramblas are 600 metres away, and Parallel Metro Station 300 metres away.

Hotel Grums Barcelona offers elegant, bright and spacious rooms with themed design décor and panoramic floor-to-ceiling windows. There is free high-speed WiFi available throughout.

All our rooms have free RITUALS Cosmetics amenities.

The Hotel Grums Barcelona features a wellness spa which is not included in the room rate and can be accessed for a small surcharge. Guests can relax in the hot tub, Finnish sauna or steam bath. A selection of massage and treatments are also available at an extra cost.",140.0,"€ 1,215"
161,Brummell Apartments Poble Sec,8.6,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 50m²
2 double beds
Free cancellation
Only 1 left at this price on our site","€ 2,395","Sants-Montjuïc, BarcelonaShow on map1.5 km from centreMetro accessBeach nearby","Situated in Barcelona, 1.3 km from Magic Fountain of Montjuic and 2 km from Palau Sant Jordi, Brummell Apartments Poble Sec offers a rooftop pool and air conditioning. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The accommodation features airport transfers, while a bicycle rental service is also available.

The apartment with a terrace and city views has 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 2 bathrooms with a shower. Towels and bed linen are available in the apartment. The property has an outdoor dining area.

Popular points of interest near the apartment include Plaça Catalunya, Montjuïc and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 12 km from Brummell Apartments Poble Sec.",630.0,"€ 2,104"
162,Hotel Nouvel,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
Only 4 rooms left at this price on our site","€ 1,442","Ciutat Vella, BarcelonaShow on map250 m from centreMetro accessBeach nearby","Offering air-conditioned rooms, free WiFi and an on-site restaurant, Hotel Nouvel is located on a pedestrianised street just 100 metres from Barcelona’s Plaza Catalunya Square and the Ramblas.

The hotel features ornate ceilings, cast bronze and crystal lamps, and marble floors, in the style of its 19th-century building.

All rooms come with a flat-screen TV, double-glazed windows and a private bathroom with a bath or shower and a hairdryer. A safe is available to rent.

The hotel’s La Lluna Restaurant serves Mediterranean cuisine. Vending machines with snacks, ice, and drinks, are also available.

Staff at the 24-hour reception can help you arrange car hire, a laundry service and tickets for shows. You will also find luggage storage and a reading room with two computers.

Portal de Angel shopping street is just 2 minutes’ walk away, while Barcelona Cathedral and the Gothic Quarter are a 10-minute walk from Hotel Nouvel.",230.0,"€ 1,303"
163,Hotel Nouvel,8.2,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation
Only 4 rooms left at this price on our site","€ 1,442","Ciutat Vella, BarcelonaShow on map250 m from centreMetro accessBeach nearby","Offering air-conditioned rooms, free WiFi and an on-site restaurant, Hotel Nouvel is located on a pedestrianised street just 100 metres from Barcelona’s Plaza Catalunya Square and the Ramblas.

The hotel features ornate ceilings, cast bronze and crystal lamps, and marble floors, in the style of its 19th-century building.

All rooms come with a flat-screen TV, double-glazed windows and a private bathroom with a bath or shower and a hairdryer. A safe is available to rent.

The hotel’s La Lluna Restaurant serves Mediterranean cuisine. Vending machines with snacks, ice, and drinks, are also available.

Staff at the 24-hour reception can help you arrange car hire, a laundry service and tickets for shows. You will also find luggage storage and a reading room with two computers.

Portal de Angel shopping street is just 2 minutes’ walk away, while Barcelona Cathedral and the Gothic Quarter are a 10-minute walk from Hotel Nouvel.",230.0,"€ 1,303"
164,Eurostars Monumental,8.4,"Double or Twin Room
Beds: 1 double or 2 singles","€ 1,757","Eixample, BarcelonaShow on map1.7 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Eurostars Monumental! To save at this property, all you have to do is sign in.
This design hotel offers free WiFi and is just 400 metres from Sagrada Família Church. Decorated in elegant neutral tones, rooms include a plasma screen TV with satellite channels.

Rooms at the Eurostars Monumental have wooden floors and modern lighting. Toiletries and a hairdryer are included in the stylish marble bathrooms.

A breakfast buffet is served in the hotel’s restaurant. You can also find various restaurants and cafés within a 5-minute walk, in the area around the Sagrada Familia.

Eurostars Monumental is 100 metres from Monumental Metro Station, which provides direct trains to Passeig de Gracia Station. Estació del Nord Bus Station is just 850 metres away. The property offers a parking space for luggage drop off in front of the hotel.",501.0,"€ 1,940"
165,Catalonia Sagrada Familia,8.2,"Premium Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,950","Sant Martí, BarcelonaShow on map2.6 km from centreMetro accessBeach nearby","A 15-minute walk from Gaudí's Sagrada Família, Catalonia Sagrada Familia is just 300 metres from Clot Metro and Train Station. It features a restaurant, a seasonal outdoor pool and a gym.

The Catalonia Sagrada Familia features traditional, bright décor and its rooms are have a desk, a mini fridge with complimentary water and a safety deposit box. Free Wi-Fi access is available.
All hotel rooms have smart TVs, which are equipped with Chromecast app.

The restaurant serves a range of Catalan and Mediterranean cuisine, as well as a buffet breakfast. The café-bar offers a selection of drinks and snacks throughout the day and there is also a bar.

Car hire is available on site, and staff at the Catalonia Sagrada Familia’s 24-hour reception can provide information on Barcelona and its many attractions. The hotel is 200 metres from the Torre Agbar Tower.

Clot Metro Station connects guests to the city centre in 4 stops and the airport train also stops here.",6.0,€ 970
167,BBarcelona Central Boutique Apartments,7.9,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
1 double bed
Only 3 left at this price on our site","€ 1,729","Eixample, BarcelonaShow on map1.2 km from centreMetro access","You're eligible for a Genius discount at BBarcelona Central Boutique Apartments! To save at this property, all you have to do is sign in.
BBarcelona Central Boutique Apartments has air-conditioned guest accommodation in Barcelona, 1.2 km from Casa Batllo, 1.6 km from Sants Railway Station and 1.5 km from Passeig de Gracia. This sustainable apartment is located 1.5 km from Plaça Catalunya and 1.4 km from Passeig de Gracia Metro Station. Guests can access the apartment via private entrance.

Each unit has a fully equipped kitchen with an oven, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bath and a hair dryer. Free WiFi is accessible to all guests, while selected rooms also boast a terrace. At the apartment complex, units include bed linen and towels.

Popular points of interest near the apartment include Magic Fountain of Montjuic, La Pedrera and Boqueria Market. The nearest airport is Barcelona El Prat Airport, 12 km from BBarcelona Central Boutique Apartments.",273.0,"€ 1,536"
170,Gran Hotel La Florida G.L Monumento,8.7,"Deluxe Double or Twin Room with Mountain View
1 large double bed","€ 1,569","Horta-Guinardó, BarcelonaShow on map5.9 km from centre","Get the celebrity treatment with world-class service at Gran Hotel La Florida G.L Monumento
Set on Tibidabo Hill, the 5-star Gran Hotel La Florida G.L Monumento offers views over Barcelona and the Mediterranean Sea. Guests enjoy free access to the Spa.

Rooms at La Florida feature free Wi-Fi access and 37-inch interactive plasma TVs. The bathrooms come with l’Occitane amenities, a bathtub and shower. Some also have a private balcony.

Guests can admire the views from the La Florida’s panoramic terraces and gardens. The Spa by L'Occitane includes a stainless steel swimming pool, both indoor and outdoor. A hot tub, sauna, pressure showers and a range of fitness equipment are also available.

The hotel’s restaurant serves gourmet Catalan, Spanish and Mediterranean dishes. There are also 2 bars.",212.0,"€ 1,958"
171,Barcelona Apartment Republica,7.6,"Standard Apartment (3 Adults)
Entire studio • 1 bathroom • 1 kitchen • 30m²
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property
Only 3 left at this price on our site","€ 2,683","Sant Martí, BarcelonaShow on map2.5 km from centreMetro accessBeach nearby","Located 150 metres from Llacuna Metro Station, Derby Republica offers modern loft-style apartments featuring exposed brick walls. Guests have access to a rooftop pool and sun terrace with views over Barcelona.

The air-conditioned apartments at Derby include a kitchen equipped with a microwave, hob, fridge and dishwasher. There is also a washing machine, and bedding and towels are provided.

The Republica has a concierge service that can help organise activities such as tours and water sports. Guests can also enjoy free entry to the Barcelona Egyptian Museum.

Glories Shopping Centre is a 10-minute walk away from Derby Republica. The beach and Poble Nou Park are also just 15 minutes’ walk away.",258.0,"€ 1,680"
172,Praktik Bakery,8.6,"Double or Twin Room
Beds: 1 double or 2 singles
Free cancellation","€ 1,478","Eixample, BarcelonaShow on map1.2 km from centreMetro access","Featuring a quality bakery within the hotel, Praktik Bakery hotel is located in Barcelona, 5 minutes' walk from Diagonal Metro. Free Wi-Fi is available.

This modern hotel offers air-conditioned double/twin rooms including a flat-screen TV and private bathroom. Towels and bed linen are provided free.

Guests can enjoy breakfast in the hotel and try the breads and pastries from the hotel's traditional bakery. Other services include provision of beach towels, ticket service for tourist bus, laundry, and airport transfers.

Praktik Bakery hotel is within a short walk of many bars, restaurants and shops. Paseo De Gracia Avenue and Gaudi's La Pedrera are just 250 metres away, and La Sagrada Familia is a 15-minute walk away. Plaza Catalunya Sqaure and Las Ramblas Boulevard is 1.3 km from the hotel.",326.0,"€ 1,256"
173,H10 Cubik 4* Sup,8.9,"Classic Double or Twin Room with City View
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site","€ 1,997","Ciutat Vella, BarcelonaShow on map300 m from centreMetro accessBeach nearby","You're eligible for a Genius discount at H10 Cubik 4* Sup! To save at this property, all you have to do is sign in.
Featuring free WiFi throughout the property, H10 Cubik offers accommodation in Barcelona. The hotel has a seasonal outdoor pool and terrace, and guests can enjoy a drink at the bar.

Rooms come with a flat-screen TV. Some units include a seating area for your convenience. Every room comes with a private bathroom.

There is a 24-hour front desk at the property.

Sitges is 35 km from H10 Cubik, while Calella is 47 km from the property. The nearest airport is El Prat Airport, 13 km from the property.",166.0,"€ 1,779"
174,Barcelona House,7.9,"Double or Twin Room
2 single beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site","€ 1,580","Ciutat Vella, BarcelonaShow on map1 km from centreMetro accessBeach nearby","You're eligible for a Genius discount at Barcelona House! To save at this property, all you have to do is sign in.
Barcelona House Hotel is in Barcelona’s Gothic Quarter, 80 metres from the Ramblas. The hotel offers modern, air-conditioned rooms with wooden floors, free wired internet and a flat-screen TV.

Barcelona Cathedral and the Boquería Market are 500 metres away. The port and Maremagnum Shopping Centre are a 10-minute walk from the hotel. You can walk to Barceloneta Beach in 20 minutes or take a bus.

Rooms are also heated and have a safe. The private bathrooms come with a hairdryer.

There are many bars, restaurants and galleries near the Barcelona House. The Picasso Museum and fashionable Borne district are a 10-minute walk away.

There is a 24-hour front desk and luggage storage is available.",72.0,"€ 1,490"
175,Vincci Mae,8.5,"Standard Double Room
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property","€ 1,837","Sarrià-St. Gervasi, BarcelonaShow on map2.1 km from centre","You're eligible for a Genius discount at Vincci Mae! To save at this property, all you have to do is sign in.
Set beside Barcelona's Francesc Macià Square, Vincci Mae features a terrace with a plunge pool and fantastic views of Diagonal Avenue and Tibidabo Mountain.

Vincci Mae boasts an on-site restaurant and bar, it also has a 24-hour front desk and offers free WiFi throughout the property.  An assorted buffet breakfast is offered everyday.

Stylish rooms feature a simple and bright décor, air-conditioning, a flat-screen TV, kettle, and minibar. The fancy private bathroom includes a shower, free toiletries ,and a hairdryer.

Casa Batlló is 1.6 km from Vincci Mae, while La Pedrera is 1.3 km away. You can reach Plaza Catalunya in 20 minutes in public transport.",178.0,"€ 1,915"
176,Barcelona Apartment Villarroel,8.1,"Standard Apartment with Terrace
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 40m²
3 beds (2 singles, 1 sofa bed)
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 2,199","Eixample, BarcelonaShow on map1.4 km from centreMetro access","Located in Eixample District, close to Hospital Clínic metro station and only 15 minutes’ walk from Barcelona’s historic town, these modern décor apartments offer free Wi-Fi throughout.

Barcelona Apartment Villaroel features deluxe and executive 2-bedroom apartments. Each of them has a comfortable living-dining area with sofa and flat-screen TV, a private bathroom and well-equipped kitchen.

Numerous bars and restaurants as well as supermarkets can be found nearby. Barcelona main shopping district is just 10 minutes’ walk away.

You can reach Barcelona Sants AVE Train Station in less than 15 minutes' walk away or a short metro ride from Hospital Clínic metro station.

When booking more than 2 apartments, different policies and additional supplements may apply.",233.0,"€ 1,757"
