,hotel_name,rating,room_description,price,location_descirption,long_description,price_week_before
417,La Flavia Design City Suites Rome,8.5,"Apartment 2
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 5 left at this price on our site","€ 2,086","Via Veneto, RomeShow on map1.9 km from centre","La Flavia Design City Suites Rome provides accommodation within 1.8 km of the centre of Rome, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The property is close to Rome Termini Metro Station, Rome Termini Train Station and Spagna Metro Station. It is possible for guests to sit outside and enjoy the property grounds.

All units in the holiday home are fitted with a coffee machine. Complete with a private bathroom equipped with a shower and a hair dryer, the units at the holiday home have a TV and air conditioning, and selected rooms are fitted with a terrace. At the holiday home, all units are equipped with a seating area.

Popular points of interest near the holiday home include Piazza Barberini, Repubblica - Teatro dell'Opera Metro Station and Barberini Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from La Flavia Design City Suites Rome.","€ 2,066"
418,MoonLight Suite,9.0,"Deluxe Studio
Private suite
1 large double bed
Free cancellation
Only 1 left at this price on our site",€ 843,"San Giovanni, RomeShow on map2.8 km from centreMetro access","You're eligible for a Genius discount at MoonLight Suite! To save at this property, all you have to do is sign in.
Set in Rome, 800 metres from San Giovanni Metro Station, MoonLight Suite offers accommodation with a garden, free WiFi, a lift, and full-day security. This sustainable holiday home is located less than 1 km from Ponte Lungo Metro Station and 1.8 km from Porta Maggiore. Staff on-site can arrange a shuttle service.

The holiday home is fitted with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with city views. The unit has soundproofing and a bidet. This holiday home is allergy-free and non-smoking.

Guests at the holiday home can enjoy a continental or an Italian breakfast. Dining options are available close to MoonLight Suite.

Vittorio Emanuele Metro Station is 2.1 km from the accommodation, while Coliseum is 2.5 km away. The nearest airport is Rome Ciampino, 12 km from MoonLight Suite, and the property offers a paid airport shuttle service.",€ 807
420,Giardino al 9,9.7,"One-Bedroom House
Entire holiday home • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site",€ 740,"Appio Latino, RomeShow on map6.3 km from centreMetro access","You're eligible for a Genius discount at Giardino al 9! To save at this property, all you have to do is sign in.
Located in Rome, 3.8 km from Ponte Lungo Metro Station, Giardino al 9 provides recently renovated accommodation with free WiFi and a garden. The holiday home, set in a building dating from 1934, is 5.1 km from Porta Maggiore and 5.1 km from Anagnina Metro Station. The property is non-smoking and is set 4.7 km from San Giovanni Metro Station.

The holiday home comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a patio with garden views. Guests can take in the ambience of the surroundings from an outdoor dining area. For added privacy, the accommodation features a private entrance.

Vittorio Emanuele Metro Station is 6 km from the holiday home, while Sapienza University of Rome is 6.5 km away. The nearest airport is Rome Ciampino Airport, 10 km from Giardino al 9.",€ 740
422,Vatican Kalasa Suite & Deluxe,8.2,"Deluxe Room
1 large double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 989,"Vaticano Prati, RomeShow on map3 km from centre","You're eligible for a Genius discount at Vatican Kalasa Suite & Deluxe! To save at this property, all you have to do is sign in.
Vatican Kalasa Suite & Deluxe is located in Rome's Prati quarter. It offers self-catering accommodation with an LCD TV, terracotta floors and free Wi-Fi.

""The air-conditioned rooms at Vatican Kalasa Suite & Deluxe features a fully set for preparing coffee/tea services, and a fridge in the living room. The bathroom includes a hairdryer, free toiletries and a shower.""

A shuttle service can be arranged on request.

Ottaviano Metro is 550 metres from the property. The Vatican Museums are a 10-minute walk away.","€ 1,009"
423,Elegant and new 3 bedrooms apt near S. Peter!,,"Three-Bedroom Apartment
4 beds (1 sofa bed, 3 large doubles)","€ 1,762","Vaticano Prati, RomeShow on map1.9 km from centre","In the heart of Rome, set within a short distance of Castel Sant'Angelo and Lepanto Metro Station, Elegant and new 3 bedrooms apt near S. Peter! offers free WiFi, air conditioning and household amenities such as kitchenware and coffee machine. It is located less than 1 km from Ottaviano Metro Station and provides a minimarket. The accommodation offers a lift and a shared kitchen for guests.

The spacious apartment is fitted with 3 bedrooms, a flat-screen TV with streaming services and a fully equipped kitchenette that provides guests with a dishwasher, a microwave, a washing machine, a fridge and a stovetop. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Guests can also relax in the shared lounge area.

Popular points of interest near the apartment include Vatican Museums, St Peter's Square and The Vatican. The nearest airport is Rome Ciampino, 17 km from Elegant and new 3 bedrooms apt near S. Peter!, and the property offers a paid airport shuttle service.","€ 1,790"
427,Residenza Trieste,8.1,"Three-Bedroom House
Entire holiday home • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 130m²
4 beds (2 doubles, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,362",RomeShow on map3.7 km from centre,"You're eligible for a Genius discount at Residenza Trieste! To save at this property, all you have to do is sign in.
Set in Rome, 1.2 km from Bologna Metro Station and 2.7 km from Tiburtina Metro Station, Residenza Trieste offers air-conditioned accommodation with a terrace and free WiFi. The property features garden views and is 2.9 km from Sapienza University of Rome and 3.1 km from Repubblica - Teatro dell'Opera Metro Station. The property is non-smoking and is located 2.7 km from Roma Tiburtina Train Station.

The spacious holiday home is fitted with 3 bedrooms, a flat-screen TV with streaming services and a fully equipped kitchen that provides guests with a dishwasher, a fridge, a washing machine and a stovetop. Towels and bed linen are featured in the holiday home. The property has an outdoor dining area.

Guests can also relax in the garden or in the shared lounge area.

Rome Termini Train Station is 3.2 km from the holiday home, while Rome Termini Metro Station is 3.3 km away. The nearest airport is Rome Ciampino, 26 km from Residenza Trieste, and the property offers a paid airport shuttle service.","€ 1,383"
428,Mama Roma Domus,9.1,"Triple Room with Private Bathroom
2 beds (1 single, 1 large double)
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site","€ 1,066","Esquilino, RomeShow on map1.8 km from centreMetro access","Offering accommodation with free WiFi, air conditioning and flat-screen TV, Mama Roma Domus is set 600 meters from Domus Aurea and 700 meters from Santa Maria Maggiore.

An Italian breakfast is available every morning at the bed and breakfast.

Porta Maggiore is 1.9 km from Mama Roma Domus, while Coliseum is 600 meters from the property. The nearest airport is Rome Ciampino Airport, 14 km from the accommodation.","€ 1,066"
429,FamilyBed Roma Monteverde-Vaticano,8.3,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
5 beds (2 singles, 1 sofa bed, 1 large double, 1 futon)
Free cancellation
Only 1 left at this price on our site",€ 909,"Gianicolense, RomeShow on map3.8 km from centre","You're eligible for a Genius discount at FamilyBed Roma Monteverde-Vaticano! To save at this property, all you have to do is sign in.
Surrounded by views of the inner courtyard, FamilyBed Roma Monteverde-Vaticano is a sustainable holiday home in Rome, offering guests an environmentally friendly accommodation close to Roma Trastevere Train Station. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The holiday home has family rooms.

The holiday home provides guests with a balcony, city views, a seating area, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and a private bathroom with bidet and a hair dryer. A toaster, a fridge and stovetop are also offered, as well as a coffee machine and a kettle. At the holiday home, the units include bed linen and towels.

A minimarket is available at the holiday home.

Basilica San Paolo Metro Station is 3.9 km from the holiday home, while St. Peter's Basilica is 4.5 km from the property. The nearest airport is Fiumicino, 21 km from FamilyBed Roma Monteverde-Vaticano, and the property offers a paid airport shuttle service.",€ 981
430,FamilyBed Roma Monteverde-Vaticano,8.3,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
5 beds (2 singles, 1 sofa bed, 1 large double, 1 futon)
Free cancellation
Only 1 left at this price on our site",€ 909,"Gianicolense, RomeShow on map3.8 km from centre","You're eligible for a Genius discount at FamilyBed Roma Monteverde-Vaticano! To save at this property, all you have to do is sign in.
Surrounded by views of the inner courtyard, FamilyBed Roma Monteverde-Vaticano is a sustainable holiday home in Rome, offering guests an environmentally friendly accommodation close to Roma Trastevere Train Station. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The holiday home has family rooms.

The holiday home provides guests with a balcony, city views, a seating area, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and a private bathroom with bidet and a hair dryer. A toaster, a fridge and stovetop are also offered, as well as a coffee machine and a kettle. At the holiday home, the units include bed linen and towels.

A minimarket is available at the holiday home.

Basilica San Paolo Metro Station is 3.9 km from the holiday home, while St. Peter's Basilica is 4.5 km from the property. The nearest airport is Fiumicino, 21 km from FamilyBed Roma Monteverde-Vaticano, and the property offers a paid airport shuttle service.",€ 981
431,Roma & Amor Apartment,,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 double, 1 sofa bed)","€ 1,129","San Giovanni, RomeShow on map2.6 km from centre","Located in Rome, 1.2 km from San Giovanni Metro Station and 1.5 km from Ponte Lungo Metro Station, Roma & Amor Apartment offers a garden and air conditioning. Among the facilities of this property are a restaurant, private check-in and check-out and a minimarket, along with free WiFi throughout the property. The property is non-smoking and is situated 2.5 km from Porta Maggiore.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. For added privacy, the accommodation has a private entrance and soundproofing.

There is a coffee shop on-site.

Domus Aurea is 1.9 km from the apartment, while Coliseum is 1.7 km away. The nearest airport is Rome Ciampino, 12 km from Roma & Amor Apartment, and the property offers a paid airport shuttle service.","€ 1,129"
433,Studio delle Grotte - Campo de’ Fiori,8.2,"One-Bedroom Apartment
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,425","Navona, RomeShow on map0.9 km from centre","Located in Rome, less than 1 km from Pantheon and a 11-minute walk from Palazzo Venezia, Studio delle Grotte - Campo de’ Fiori offers air conditioning. It is situated 200 metres from Campo de' Fiori and features a 24-hour front desk. The property is less than 1 km from the city centre and a 7-minute walk from Largo di Torre Argentina.

With free WiFi, this 1-bedroom apartment provides a flat-screen TV and a kitchen with a microwave and fridge. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance.

Popular points of interest near the apartment include Piazza Venezia, Synagogue of Rome and Piazza Navona. The nearest airport is Rome Ciampino, 16 km from Studio delle Grotte - Campo de’ Fiori, and the property offers a paid airport shuttle service.","€ 1,425"
434,Studio San Vito - Monti,8.1,"One-Bedroom Apartment
1 double bed
Free cancellation
Only 1 left at this price on our site",€ 963,"Central Station, RomeShow on map1.5 km from centreMetro access","Set in Rome, 400 metres from Vittorio Emanuele Metro Station and 600 metres from Cavour Metro Station, Studio San Vito - Monti offers air conditioning. It is situated less than 1 km from Rome Termini Metro Station and features a 24-hour front desk. The property is 200 metres from Santa Maria Maggiore, and within 1.6 km of the city centre.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with a microwave and fridge. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Rome Termini Train Station, Repubblica - Teatro dell'Opera Metro Station and Colosseo Metro Station. The nearest airport is Rome Ciampino, 13 km from Studio San Vito - Monti, and the property offers a paid airport shuttle service.",€ 963
435,Dea Rome Suites,9.4,"Double Room with Private Bathroom
1 large double bed
Free cancellation
Only 1 room left at this price on our site","€ 1,063","Via Veneto, RomeShow on map1.5 km from centreMetro access","Offering city views, Dea Rome Suites is an accommodation located in Rome, 700 metres from Barberini Metro Station and less than 1 km from Rome Termini Metro Station. It is situated 700 metres from Piazza Barberini and features free WiFi plus a lift. The property is 400 metres from Repubblica - Teatro dell'Opera Metro Station, and within 1.5 km of the city centre.

The guest house will provide guests with air-conditioned units with a wardrobe, a kettle, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a bidet. At the guest house, every unit comes with bed linen and towels.

Popular points of interest near the guest house include Rome Termini Train Station, Quirinal Hill and Spagna Metro Station. The nearest airport is Rome Ciampino Airport, 15 km from Dea Rome Suites.","€ 1,164"
438,iFlat Campo De Fiori Cozy Flat,7.7,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 65m²
3 beds (1 single, 1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,339","Navona, RomeShow on map1 km from centre","Set in the heart of Rome, 300 metres from Campo de' Fiori, iFlat Campo De Fiori Cozy Flat offers air-conditioned accommodation with free WiFi and a flat-screen TV. The property is located 1.2 km from Piazza Venezia, 1.4 km from Castel Sant'Angelo and less than 1 km from Synagogue of Rome. The property is non-smoking and is situated less than 1 km from Largo di Torre Argentina.

The spacious apartment is composed of 2 bedrooms, a living room, a fully equipped kitchenette, and 2 bathrooms.

Popular points of interest near the apartment include Pantheon, Piazza Navona and Palazzo Venezia. The nearest airport is Rome Ciampino Airport, 16 km from iFlat Campo De Fiori Cozy Flat.","€ 1,322"
439,"Casa Alessi in Rome elegant, spacious and comfortable apartment",9.4,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 75m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,152","Aurelio, RomeShow on map4.3 km from centreMetro access","You're eligible for a Genius discount at Casa Alessi in Rome elegant, spacious and comfortable apartment! To save at this property, all you have to do is sign in.
Located in Rome, 1.7 km from Battistini Metro Station and 3.3 km from Vatican Museums, Casa Alessi in Rome elegant, spacious and comfortable apartment offers air conditioning. This sustainable apartment is located 3.4 km from St. Peter's Basilica and 3.5 km from Ottaviano Metro Station. Providing free WiFi throughout the property, the non-smoking apartment has a hot tub.

The spacious apartment with a balcony and inner courtyard views features 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hot tub. Towels and bed linen are provided in the apartment. The property offers quiet street views.

Lepanto Metro Station is 4.2 km from the apartment, while Castel Sant'Angelo is 4.3 km away. The nearest airport is Fiumicino Airport, 25 km from Casa Alessi in Rome elegant, spacious and comfortable apartment.","€ 1,152"
445,Roma Trastevere Relais Guest House,8.1,"Double Room
1 large double bed
Free cancellation
Only 3 rooms left at this price on our site",€ 747,"Gianicolense, RomeShow on map2.7 km from centre","Set 250 metres from Rome’s Trastevere Train Station, Roma Trastevere Relais Guest House offers modern furnished rooms with a balcony. WiFi is free throughout.

Spacious rooms at Roma Trastevere Relais Guest House include a flat-screen TV and air conditioning. The private bathroom has a hairdryer and free toiletries.

Villa Pamphili is 2 km from the property. Rome’s lively Testaccio district, filled with traditional restaurants, is 5 minutes’ walk away.",€ 747
446,Rome Sweet Home near Metro Flaminio,7.9,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site","€ 1,010","Villa Borghese Parioli, RomeShow on map3.4 km from centre","Set in Rome, 1.9 km from Lepanto Metro Station and 2.6 km from Stadio Olimpico Roma, Rome Sweet Home near Metro Flaminio offers air conditioning. It is situated 2.7 km from Ottaviano Metro Station and offers a lift. Free WiFi is available throughout the property and Auditorium Parco della Musica is 1.1 km away.

The spacious apartment is fitted with 1 separate bedroom, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment. This apartment is allergy-free and non-smoking.

Piazza del Popolo is 1.8 km from the apartment, while Vatican Museums is 3.2 km from the property. The nearest airport is Rome Ciampino Airport, 19 km from Rome Sweet Home near Metro Flaminio.","€ 1,010"
448,B&B Girovagando,8.5,"Double Room
1 large double bed
Breakfast included
Free cancellation
Only 3 rooms left at this price on our site","€ 1,125","Vaticano Prati, RomeShow on map2.7 km from centreMetro access","You're eligible for a Genius discount at B&B Girovagando! To save at this property, all you have to do is sign in.
Set 600 meters from the Vatican Museums and 900 meters from St. Peter's Basilica, B&B Girovagando offers modern rooms with a flat-screen TV and free WiFi.  Ottaviano Metro is a 3-minute walk away.

All air conditioned, rooms at the Girovagando have satellite channels and a private bathroom with a shower plus a hairdryer.

A sweet Italian-style breakfast of hot drinks and pastries is provided daily on site. There are plenty of traditional restaurants in the surroundings.

Castel Sant’Angelo castle can be reached on foot in 15 minutes.","€ 1,098"
452,Contessa Arrivabene Antica Dimora,8.6,"Double Room
1 large double bed
Breakfast included
Free cancellation
Only 1 room left at this price on our site",€ 995,"Trionfale, RomeShow on map3.8 km from centre","You're eligible for a Genius discount at Contessa Arrivabene Antica Dimora! To save at this property, all you have to do is sign in.
Located in Rome’s Trionfale district, the Contessa Arrivabene Antica Dimora is an Art Nouveau villa with free Wi-Fi throughout and a 1000-m² garden. It offers elegant rooms with an LCD TV and garden views.

Rooms at the Antica Dimora are each uniquely decorated with luxury fabrics and wallpaper. Each comes with air conditioning and a private bathroom with a hairdryer. Some rooms have an independent entrance.

The daily continental buffet-style breakfast is served on the rooftop terrace in fine weather, or in the comfort of your room. A coffee, tea and cappuccino machine is also available on the terrace.

The Vatican Museums and St. Peter's Square are a 20-minute walk or short bus ride away, while the Olimpico Stadium is 4 km from the property. Discounts at a partner garage parking set 200 metres away are available.","€ 1,238"
454,San Pietro & Trastevere Home,8.1,"Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
3 beds (1 single, 1 extra-large double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,017","Aurelio, RomeShow on map2.1 km from centre","You're eligible for a Genius discount at San Pietro & Trastevere Home! To save at this property, all you have to do is sign in.
Boasting a balcony with garden views, a garden and a terrace, San Pietro & Trastevere Home can be found in Rome, close to St. Peter's Basilica and 1.7 km from Castel Sant'Angelo. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment also offers facilities for disabled guests.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a kettle, and 1 bathroom with a bidet and bathrobes. Towels and bed linen are available in the apartment. This apartment is allergy-free and non-smoking.

A minimarket is available at the apartment.

The apartment complex has a picnic area where you can spend a day out in the open.

Popular points of interest near the apartment include St Peter's Square, The Vatican and Vatican Museums. The nearest airport is Rome Ciampino Airport, 18 km from San Pietro & Trastevere Home.","€ 1,035"
455,San Pietro & Trastevere Home,8.1,"Apartment - Ground Floor
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 55m²
3 beds (1 single, 1 extra-large double, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site","€ 1,017","Aurelio, RomeShow on map2.1 km from centre","You're eligible for a Genius discount at San Pietro & Trastevere Home! To save at this property, all you have to do is sign in.
Boasting a balcony with garden views, a garden and a terrace, San Pietro & Trastevere Home can be found in Rome, close to St. Peter's Basilica and 1.7 km from Castel Sant'Angelo. Among the facilities at this property are a lift and full-day security, along with free WiFi throughout the property. The apartment also offers facilities for disabled guests.

The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with an oven and a kettle, and 1 bathroom with a bidet and bathrobes. Towels and bed linen are available in the apartment. This apartment is allergy-free and non-smoking.

A minimarket is available at the apartment.

The apartment complex has a picnic area where you can spend a day out in the open.

Popular points of interest near the apartment include St Peter's Square, The Vatican and Vatican Museums. The nearest airport is Rome Ciampino Airport, 18 km from San Pietro & Trastevere Home.","€ 1,035"
456,HostMe Piazza di Spagna apartament,8.0,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 1,207","Spagna, RomeShow on map1 km from centreMetro access","You're eligible for a Genius discount at HostMe Piazza di Spagna apartament! To save at this property, all you have to do is sign in.
In the heart of Rome, set within a short distance of Barberini Metro Station and Piazza Barberini, HostMe Piazza di Spagna apartament offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property has city views and is 800 metres from Quirinal Hill and 500 metres from Spagna Metro Station. The accommodation offers airport transfers, while a bicycle rental service is also available.

The spacious apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Repubblica - Teatro dell'Opera Metro Station, Spanish Steps and Trevi Fountain. The nearest airport is Rome Ciampino Airport, 15 km from HostMe Piazza di Spagna apartament.","€ 1,153"
457,HostMe Piazza di Spagna apartament,8.0,"One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 70m²
2 beds (1 sofa bed, 1 large double)
Only 1 left at this price on our site","€ 1,207","Spagna, RomeShow on map1 km from centreMetro access","You're eligible for a Genius discount at HostMe Piazza di Spagna apartament! To save at this property, all you have to do is sign in.
In the heart of Rome, set within a short distance of Barberini Metro Station and Piazza Barberini, HostMe Piazza di Spagna apartament offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property has city views and is 800 metres from Quirinal Hill and 500 metres from Spagna Metro Station. The accommodation offers airport transfers, while a bicycle rental service is also available.

The spacious apartment features 1 bedroom, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a walk-in shower. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking.

Popular points of interest near the apartment include Repubblica - Teatro dell'Opera Metro Station, Spanish Steps and Trevi Fountain. The nearest airport is Rome Ciampino Airport, 15 km from HostMe Piazza di Spagna apartament.","€ 1,153"
459,Loft Campo de' Fiori - Appartamento Campo de' Fiori - LE CUGINE,8.8,"Loft
Entire apartment • 1 bedroom • 1 bathroom • 19m²
1 sofa bed
Free cancellation
Only 1 left at this price on our site","€ 1,160","Navona, RomeShow on map0.7 km from centre","You're eligible for a Genius discount at Loft Campo de' Fiori - Appartamento Campo de' Fiori - LE CUGINE! To save at this property, all you have to do is sign in.
Set in the centre of Rome, 500 metres from Largo di Torre Argentina and 500 metres from Pantheon, Loft Campo de' Fiori - Appartamento Campo de' Fiori - LE CUGINE offers free WiFi and air conditioning. There is a private entrance at the apartment for the convenience of those who stay. Guests can enjoy city views.

At the apartment complex, the units are equipped with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. A microwave, a toaster and fridge are also featured, as well as a coffee machine and a kettle. At the apartment complex, units are equipped with a seating area.

Popular points of interest near the apartment include Palazzo Venezia, Piazza Navona and Piazza Venezia. The nearest airport is Rome Ciampino Airport, 16 km from Loft Campo de' Fiori - Appartamento Campo de' Fiori - LE CUGINE.","€ 1,160"
461,Prati Apartment,9.1,"Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 68m²
2 large double beds
Only 1 left at this price on our site","€ 1,041","Vaticano Prati, RomeShow on map3.1 km from centre","Surrounded by views of the city, Prati Apartment is a sustainable apartment in Rome, offering guests an environmentally friendly accommodation close to Ottaviano Metro Station. Among the facilities at this property are a lift and a shared kitchen, along with free WiFi throughout the property. Private parking can be arranged at an extra charge.

The spacious apartment features 2 bedrooms, a flat-screen TV, a fully equipped kitchen with an oven and a microwave, a washing machine, and 2 bathrooms with a bidet. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Guests can also relax in the shared lounge area.

Popular points of interest near the apartment include Lepanto Metro Station, Vatican Museums and St Peter's Square. The nearest airport is Rome Ciampino, 18 km from Prati Apartment, and the property offers a paid airport shuttle service.","€ 1,041"
462,VATICANO 16 APARTMENT,9.1,"Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 60m²
2 large double beds
Free cancellation
No prepayment needed – pay at the property
Only 1 left at this price on our site","€ 1,714","Vaticano Prati, RomeShow on map2.4 km from centre","You're eligible for a Genius discount at VATICANO 16 APARTMENT! To save at this property, all you have to do is sign in.
Located in Rome, 400 metres from St. Peter's Basilica and 400 metres from The Vatican, VATICANO 16 APARTMENT offers a shared lounge and air conditioning. It is situated 1.6 km from Piazza Navona and provides a shared kitchen.

This apartment includes 2 bedrooms, a living room and a flat-screen TV, an equipped kitchen with a dining area, and 2 bathrooms with a shower and a washing machine.

St Peter's Square is 500 metres from the apartment, while Castel Sant'Angelo is 1.2 km away. The nearest airport is Rome Ciampino Airport, 15.9 km from VATICANO 16 APARTMENT.","€ 1,719"
464,Dolce Vita Affittacamere,8.2,"Superior King Room
1 large double bed
Free cancellation
Only 2 rooms left at this price on our site",€ 686,"Appio Latino, RomeShow on map8.4 km from centreMetro access","You're eligible for a Genius discount at Dolce Vita Affittacamere! To save at this property, all you have to do is sign in.
Situated 2.8 km from Anagnina Metro Station and 5.3 km from Ponte Lungo Metro Station, Dolce Vita Affittacamere in Rome features air-conditioned accommodation with views of the quiet street and free WiFi. This sustainable guest house is located 6.2 km from San Giovanni Metro Station and 6.6 km from Porta Maggiore. The accommodation offers a lift and a shared kitchen for guests.

At the guest house, each unit includes a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. The units are equipped with heating facilities.

A minimarket is available at the guest house.

Vittorio Emanuele Metro Station is 7.4 km from the guest house, while Università Tor Vergata is 7.7 km from the property. The nearest airport is Rome Ciampino Airport, 8 km from Dolce Vita Affittacamere.",€ 686
467,Viam Imbriani Suites,9.3,"Deluxe Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 45m²
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 3 left at this price on our site","€ 1,855","Villa Borghese Parioli, RomeShow on map1.9 km from centreMetro access","Conveniently situated in Rome, Viam Imbriani Suites provides air-conditioned rooms with free WiFi and private parking. There is a private entrance at the apartment for the convenience of those who stay. The accommodation offers a lift, and luggage storage for guests.

Each unit is equipped with a terrace, a fully equipped kitchen with a microwave, a seating area, a flat-screen TV, a washing machine, and a private bathroom with bidet and slippers. Each unit comes with a patio featuring an outdoor dining area. At the apartment complex, each unit is equipped with bed linen and towels.

Popular points of interest near the apartment include Lepanto Metro Station, Piazza del Popolo and Villa Borghese. The nearest airport is Rome Ciampino, 17 km from Viam Imbriani Suites, and the property offers a paid airport shuttle service.","€ 1,855"
468,Parri Silton,8.5,"Double or Twin Room
1 large double bed
Only 1 room left at this price on our site",€ 642,"Central Station, RomeShow on map2.2 km from centreMetro access","You're eligible for a Genius discount at Parri Silton! To save at this property, all you have to do is sign in.
Located in Rome, 800 metres from Vittorio Emanuele Metro Station and 600 metres from San Giovanni Metro Station, Parri Silton offers a garden and air conditioning. Among the facilities at this property are a shared kitchen and a minimarket, along with free WiFi throughout the property. The accommodation provides a shuttle service, while a bicycle rental service is also available.

Each unit is equipped with a patio offering garden views, a flat-screen TV, a well-fitted kitchenette and a private bathroom with shower, a hair dryer and free toiletries. A toaster, a fridge and kitchenware are also provided, as well as a coffee machine and a kettle. At the guest house, every unit includes bed linen and towels.

A bar can be found on-site.

A car rental service is available at the guest house.

Popular points of interest near Parri Silton include Porta Maggiore, Santa Maria Maggiore and Sapienza University of Rome. The nearest airport is Rome Ciampino Airport, 12 km from the accommodation.",€ 641
